ID,Verification gap,Scope / acceptance focus,Status,Source,Assigned owner,Due date,Evidence URL/path,Remediation,Retest result
V-01,Automated accessibility scan,"All HTML pages, languages, dialog/form states",Not tested,Phase 3 report,,,,,
V-02,Keyboard navigation,All views and controls,Not tested,Phase 3 report,,,,,
V-03,Mobile menu and reflow,320 CSS px; zoom; mobile,Not tested,Phase 3 report,,,,,
V-04,Book dialog,"Focus trap, Escape, restore focus",Not tested,Phase 3 report,,,,,
V-05,Cookie consent,"Keyboard, persistence, analytics network",Not tested,Phase 3 report,,,,,
V-06,Contact and release forms,"Labels, errors, submission, announcements",Not tested,Phase 3 report,,,,,
V-07,Bilingual functionality,Content and screen-reader language changes,Not tested,Phase 3 report,,,,,
V-08,Screen readers,NVDA and VoiceOver,Not tested,Phase 3 report,,,,,
V-09,Color contrast,"Text, controls, focus states",Not tested,Phase 3 report,,,,,
V-10,Video and motion,"Captions, transcript, reduced motion",Not tested,Phase 3 report,,,,,
V-11,PDF accessibility,English and Spanish releases,Not tested,Phase 3 report,,,,,
V-12,Live website,GitHub Pages and third-party integrations,Not tested,Phase 3 report,,,,,
